time	vout
2.24593750000000014E-9	1.26159669188161905E-2
2.25114583333333318E-9	1.22427980324635310E-2
2.25635416666666710E-9	1.04589761041244156E-2
2.26156249999999970E-9	8.70955397067801940E-3
2.26677083333333274E-9	6.97735755402050195E-3
2.27197916666666622E-9	5.19834615254939081E-3
2.27718749999999970E-9	3.09558045874215626E-3
2.28239583333333229E-9	4.10721557947431748E-4
2.28760416666666533E-9	-7.98196439153722714E-4
2.29281249999999837E-9	-1.60594061284053069E-3
2.29802083333333229E-9	-2.44864012492044925E-3
2.30322916666666533E-9	-3.40588515757868837E-3
2.30843749999999792E-9	-4.28994068279651053E-3
2.31364583333333229E-9	-4.43924275242289035E-3
2.31885416666666488E-9	-4.41274332685183168E-3
2.32406249999999748E-9	-4.38486664675084459E-3
2.32927083333333051E-9	-4.40484063285733818E-3
2.33447916666666444E-9	-4.02363689018347870E-3
2.33968749999999792E-9	-2.21775587115663342E-3
2.34489583333333096E-9	-4.67907538311200888E-4
2.35010416666666400E-9	1.21118249745608120E-3
2.35531249999999748E-9	2.75704437013538151E-3
2.36052083333333007E-9	4.64464117731293147E-3
2.36572916666666355E-9	7.19494150968691848E-3
2.37093749999999615E-9	8.37658531583015886E-3
2.37614583333332963E-9	9.16736920715809589E-3
2.38135416666666266E-9	9.98047965423754668E-3
2.38656249999999615E-9	1.09769374541608178E-2
2.39177083333332918E-9	1.19480455753135084E-2
2.39697916666666222E-9	1.22221569135617170E-2
2.40218749999999481E-9	1.22940665517026293E-2
2.40739583333332874E-9	1.23011019571717539E-2
2.41260416666666178E-9	1.23689547190256266E-2
2.41781249999999437E-9	1.24189319356088479E-2
2.42302083333332785E-9	1.23389393880189280E-2
2.42822916666666089E-9	1.22067057185193795E-2
2.43343749999999481E-9	1.21047933620834969E-2
2.43864583333332785E-9	1.22979804868721443E-2
2.44385416666666133E-9	1.25107646011765583E-2
2.44906249999999437E-9	1.27089272663473385E-2
2.45427083333332741E-9	1.29399948744857696E-2
2.45947916666666000E-9	1.32162195761656109E-2
2.46468749999999304E-9	1.35202243418679946E-2
2.46989583333332741E-9	1.36576838590788374E-2
2.47510416666666000E-9	1.36449193469709740E-2
2.48031249999999304E-9	1.34780748335314593E-2
2.48552083333332607E-9	1.33424668811179892E-2
2.49072916666666044E-9	1.33447286522649877E-2
2.49593749999999304E-9	1.33448381418534123E-2
2.50114583333332607E-9	1.33685075043977730E-2
2.50635416666665911E-9	1.34743110444424419E-2
2.51156249999999215E-9	1.37447733413178619E-2
2.51677083333332563E-9	1.40891852470572432E-2
2.52197916666665867E-9	1.42534863093161857E-2
2.52718749999999126E-9	1.43366308891218930E-2
2.53239583333332519E-9	1.43290188575736055E-2
2.53760416666665822E-9	1.42911363886581455E-2
2.54281249999999126E-9	1.41949698692168336E-2
2.54802083333332430E-9	1.40220246747830801E-2
2.55322916666665822E-9	1.38768109874380152E-2
2.55843749999999082E-9	1.38373956755780281E-2
2.56364583333332385E-9	1.40350643916238060E-2
2.56885416666665689E-9	1.42615058608758472E-2
